N,file size,records num,total runs,runs-var,run-build(s),run-build-var,run-merge(s),run-merge-var,total cost(s),total-var
1,0,4096,1,0,0.007,0,0.002,0,0.009,0,sorted
2,0,8192,2,0,0.009,0,0.00366667,2.22222e-007,0.0126667,2.22222e-007,sorted
3,0,12288,3,0,0.0103333,8.88889e-007,0.005,0,0.0153333,8.88889e-007,sorted
4,0,16384,3,0,0.01,6.66667e-007,0.00533333,2.22222e-007,0.0153333,1.55556e-006,sorted
5,0,20480,4,0,0.012,2e-006,0.00633333,2.22222e-007,0.0183333,3.55556e-006,sorted
6,0,24576,4,0,0.0123333,2.22222e-007,0.007,2e-006,0.0193333,3.55556e-006,sorted
7,0,28672,5,0,0.0136667,2.22222e-007,0.00666667,2.22222e-007,0.0203333,2.22222e-007,sorted
8,0,32768,5,0,0.0156667,2.22222e-007,0.008,0,0.0236667,2.22222e-007,sorted
9,0,36864,6,0,0.015,0,0.009,6.66667e-007,0.024,6.66667e-007,sorted
10,0,40960,6,0,0.0166667,1.55556e-006,0.00966667,2.22222e-007,0.0263333,2.88889e-006,sorted
